guild_id,user_id,xp,level,msg_count,voice_minutes,username,reacoes
602623690206609418,872975653614538802,125,3,0,0,null,0
602623690206609418,518570639439953931,120,3,0,0,null,0
602623690206609418,693498315819712552,155,2,0,0,null,0
602623690206609418,404731591005437962,170,1,0,0,null,0
602623690206609418,194985773626294272,135,1,0,0,null,0
602623690206609418,281540334025179136,135,1,0,0,null,0
602623690206609418,343774441601499137,130,1,0,0,null,0
602623690206609418,307995369223094272,25,1,0,0,null,0
602623690206609418,839924753683054592,70,0,0,0,null,0
602623690206609418,248809763901538304,215,32,23,369,影Hashirama,17
602623690206609418,1116847120624930836,20,0,1,0,デ ミ ウ ル ゴ ス,0
602623690206609418,570245611660640256,3630,44,0,0,null,0
602623690206609418,708490929580802129,1930,40,4,0,Oblivion ⸸,0
602623690206609418,810286293602533400,55,37,0,17,a...vanin,0
602623690206609418,1151240829692817428,1505,31,0,0,null,0
602623690206609418,195723880277475329,580,26,0,0,null,0
602623690206609418,460610007508058122,255,21,0,0,null,0
602623690206609418,733785314614706206,255,9,0,0,null,0
602623690206609418,703455836231434270,30,8,1,28,Ghost5k3,0
602623690206609418,690696513550024744,100,2,1,32,モモン,0
